"Player Name","Age","Position","Pos","Market values","Fee","Team_Name","Club_Logo_URL","Transfer_Type"
"Bijoy VBijoy V",23,"Centre-Back","CB","<U+20B9>40 L","loan transfer","Kerala Blasters FC","https://www.indiansuperleague.com/static-assets/images/club/498.png?v=100.33","Departures"
"Lara SharmaL. Sharma",24,"Goalkeeper","GK","<U+20B9>40 L","End of loanMay 31, 2024","Kerala Blasters FC","https://www.indiansuperleague.com/static-assets/images/club/498.png?v=100.33","Departures"
"Huidrom Naocha SinghH. Singh",24,"Left-Back","LB","<U+20B9>1.4 Cr","End of loanMay 31, 2024","Kerala Blasters FC","https://www.indiansuperleague.com/static-assets/images/club/498.png?v=100.33","Departures"
"Ivan KalyuzhnyiI. Kalyuzhnyi",25,"Central Midfield","CM","<U+20B9>3.2 Cr","End of loanJun 30, 2023","Kerala Blasters FC","https://www.indiansuperleague.com/static-assets/images/club/498.png?v=100.33","Departures"
"Carlos MartínezC. Martínez",37,"Centre-Forward","CF","<U+20B9>80 L","free transfer","FC Goa","https://www.indiansuperleague.com/static-assets/images/club/496.png?v=100.33","Arrivals"
"Jay GuptaJay Gupta",21,"Left-Back","LB","<U+20B9>20 L","free transfer","FC Goa","https://www.indiansuperleague.com/static-assets/images/club/496.png?v=100.33","Arrivals"
"Narayan DasN. Das",29,"Left-Back","LB","<U+20B9>1 Cr","free transfer","FC Goa","https://www.indiansuperleague.com/static-assets/images/club/496.png?v=100.33","Arrivals"
"Carl McHughC. McHugh",30,"Defensive Midfield","DM","<U+20B9>3.2 Cr","free transfer","FC Goa","https://www.indiansuperleague.com/static-assets/images/club/496.png?v=100.33","Arrivals"
"Víctor RodríguezV. Rodríguez",33,"Attacking Midfield","AM","<U+20B9>1.8 Cr","free transfer","FC Goa","https://www.indiansuperleague.com/static-assets/images/club/496.png?v=100.33","Arrivals"
"Odei OnaindiaO. Onaindia",33,"Centre-Back","CB","<U+20B9>2.2 Cr","free transfer","FC Goa","https://www.indiansuperleague.com/static-assets/images/club/496.png?v=100.33","Arrivals"
"Udanta SinghU. Singh",27,"Right Winger","RW","<U+20B9>1.4 Cr","free transfer","FC Goa","https://www.indiansuperleague.com/static-assets/images/club/496.png?v=100.33","Arrivals"
"Paulo RetreP. Retre",30,"Defensive Midfield","DM","<U+20B9>3.6 Cr","free transfer","FC Goa","https://www.indiansuperleague.com/static-assets/images/club/496.png?v=100.33","Arrivals"
"Boris SinghB. Singh",23,"Right-Back","RB","<U+20B9>1.8 Cr","free transfer","FC Goa","https://www.indiansuperleague.com/static-assets/images/club/496.png?v=100.33","Arrivals"
"Sandesh JhinganS. Jhingan",29,"Centre-Back","CB","<U+20B9>2 Cr","free transfer","FC Goa","https://www.indiansuperleague.com/static-assets/images/club/496.png?v=100.33","Arrivals"
"Raynier FernandesR. Fernandes",27,"Central Midfield","CM","<U+20B9>1.6 Cr","free transfer","FC Goa","https://www.indiansuperleague.com/static-assets/images/club/496.png?v=100.33","Arrivals"
"Rowllin BorgesR. Borges",31,"Defensive Midfield","DM","<U+20B9>80 L","loan transfer","FC Goa","https://www.indiansuperleague.com/static-assets/images/club/496.png?v=100.33","Arrivals"
"Aibanbha DohlingA. Dohling",27,"Left-Back","LB","<U+20B9>1.8 Cr","<U+20B9>1.4 Cr","FC Goa","https://www.indiansuperleague.com/static-assets/images/club/496.png?v=100.33","Departures"
"Lesly RebelloL. Rebello",23,"Centre-Back","CB","<U+20B9>20 L","free transfer","FC Goa","https://www.indiansuperleague.com/static-assets/images/club/496.png?v=100.33","Departures"
"Naveen KumarN. Kumar",34,"Goalkeeper","GK","<U+20B9>20 L","free transfer","FC Goa","https://www.indiansuperleague.com/static-assets/images/club/496.png?v=100.33","Departures"
"Álvaro VázquezÁ. Vázquez",32,"Centre-Forward","CF","<U+20B9>2 Cr","free transfer","FC Goa","https://www.indiansuperleague.com/static-assets/images/club/496.png?v=100.33","Departures"
"Makan Winkle ChoteM. Chote",23,"Right Winger","RW","<U+20B9>1 Cr","free transfer","FC Goa","https://www.indiansuperleague.com/static-assets/images/club/496.png?v=100.33","Departures"
"Iker GuarrotxenaI. Guarrotxena",30,"Left Winger","LW","<U+20B9>5.2 Cr","free transfer","FC Goa","https://www.indiansuperleague.com/static-assets/images/club/496.png?v=100.33","Departures"
"Lalremruata HPL. HP",21,"Attacking Midfield","AM","<U+20B9>20 L","free transfer","FC Goa","https://www.indiansuperleague.com/static-assets/images/club/496.png?v=100.33","Departures"
"Edu BediaEdu Bedia",34,"Defensive Midfield","DM","<U+20B9>2.2 Cr","free transfer","FC Goa","https://www.indiansuperleague.com/static-assets/images/club/496.png?v=100.33","Departures"
"Redeem TlangR. Tlang",28,"Right Winger","RW","<U+20B9>1.6 Cr","free transfer","FC Goa","https://www.indiansuperleague.com/static-assets/images/club/496.png?v=100.33","Departures"
